SrNo,state,Populn,Area,DensityPerSqKm,Statecode
1,Maharashtra,112372972,307713,365,MH
2,Bihar,103804637,94163,1102,BI
3,UttarPradesh,199812341,240928,828,UP
4,Haryana,25353081,44212,573,HY
5,WestBengal,91347736,88752,1029,WB
6,MadhyaPradesh,72597565,308245,236,MP
7,TamilNadu,72138958,130058,555,TN
8,Rajasthan,68621012,342239,201,RJ
9,Karnataka,61130704,191791,319,KAR
10,Gujarat,60383628,196024,308,GUJ
11,AndhraPradesh,49386799,162968,303,AP
12,Odisha,41947358,155707,269,OD
13,Telangana,35286757,114840,307,TEL
14,Kerala,33387677,38863,859,KER
15,Jharkhand,32966238,79714,414,JHR
16,Assam,31169272,78438,397,AS
17,Punjab,27704236,50362,550,PUN
18,Gujarat,25540196,135191,189,GUJ
19,Haryana,25353081,44212,573,HAR
20,JammuKashmir,12548926,222236,57,JK
